[第1集],课程目标，数据类型，运算，变量
[第2集],分支，条件和循环
[第3集],一般代码样式，循环式程序
[第4集],函数抽象与递归简介
[第5集],浮点数和二分法(逐次近似)
[第6集],二分法，牛顿，拉复生方法，对于数组的简介
[第7集],数组以及可变性，字典，伪码，对于代码运行效率的简介
[第8集],算法的复杂度：对数级，线性级，平方级，指数级
[第9集],二分法搜索，冒泡排序与选择排序
[第10集],分治法，合并排序，异常
[第11集],测试与调试
[第12集],调试的更多内容:背包问题,动态规划简介
[第13集],动态规划,重叠的子问题,最优子结构
[第14集],背包问题的分析,面向对象编程简介
[第15集],抽象数据类型,类与方法
[第16集],封装,继承,映射
[第17集],计算模型.随机走动模拟
[第18集],表示模拟结果.Pylab与绘图
[第19集],有偏好的随机漫步与概率分布
[第20集],统计试验模拟程序预测pi值
[第21集],验证模拟仿真程序结果.线性回归.曲线拟合
[第22集],正态分布均匀分布和指数分布
[第23集],股票市场仿真
[第24集],计算机科学家都做什么
